鄉鎮市區,土地區段位置建物區段門牌,交易年月日,Price,Floor,Area,bad100m,edu500m,med1000m,class_MRT,class_bus,building_station_distance,building_busstop_distance,Parking,Landusage,交易年月,int_rate,salary,population
新莊區,後港段811~840地號,1010611,300164.2767,2,27.651525,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010614,284975.24100000004,3,27.651525,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010517,274849.2172,4,27.651525,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10105,3.219,537021,23270367
新莊區,後港段811~840地號,1010706,300164.2767,7,27.651525,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010804,285071.9797,2,24.765675,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10108,3.219,537021,23270367
新莊區,後港段811~840地號,1010515,291936.3191,6,24.765675,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10105,3.219,537021,23270367
新莊區,後港段811~840地號,1010905,360175.929,12,24.765675,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10109,3.219,537021,23270367
新莊區,後港段811~840地號,1010630,302170.8351,3,22.1067,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010701,305337.2959,7,22.1067,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010905,360071.8334,12,22.1067,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10109,3.219,537021,23270367
新莊區,後港段811~840地號,1010515,289884.6152,3,39.981425,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10105,3.219,537021,23270367
新莊區,後港段811~840地號,1010621,347161.213,12,39.981425,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010610,352018.7477,13,40.1115,0,1,1,2,1,691.7014709999999,5.988160000000001,1,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010517,329384.7689,11,22.617925,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10105,3.219,537021,23270367
新莊區,後港段811~840地號,1010704,356979.6304,12,41.627025,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010704,362264.6586,13,41.627025,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010617,354083.6391,14,39.8211,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010810,388110.68799999997,1,49.67655,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10108,3.219,537021,23270367
新莊區,後港段811~840地號,1010515,305016.8377,6,34.81775,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10105,3.219,537021,23270367
新莊區,後港段811~840地號,1010515,316792.4406,8,34.81775,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10105,3.219,537021,23270367
新莊區,後港段811~840地號,1010706,751314.8009,1,48.5815,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010630,311165.3447,6,36.058,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010620,340113.898,12,36.07615,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010630,351478.74700000003,13,36.07615,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010707,320103.2906,6,41.04925,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010618,329582.794,12,20.086,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010630,305002.9888,3,42.032375,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010627,310104.8704,6,41.663325,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010926,383880.2196,14,40.767925,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10109,3.219,537021,23270367
新莊區,後港段811~840地號,1010709,350047.4432,10,35.595175,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010709,355104.3084,11,35.595175,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010711,365218.0387,13,35.595175,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010903,372045.3101,14,27.6848,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10109,3.219,537021,23270367
新莊區,後港段811~840地號,1010624,358669.5753,13,38.837975,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010609,293136.1251,2,39.981425,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010713,307392.7455,4,39.981425,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010516,299889.2611,7,39.981425,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10105,3.219,537021,23270367
新莊區,後港段811~840地號,1010728,352663.7682,5,39.981425,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10107,3.219,537021,23270367
新莊區,後港段811~840地號,1010516,312877.853,9,40.1115,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10105,3.219,537021,23270367
新莊區,後港段811~840地號,1010613,336561.8339,10,40.1115,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,後港段811~840地號,1010617,343043.7655,11,40.1115,0,1,1,2,1,691.7014709999999,5.988160000000001,2,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010526,458065.9864,14,22.049225,0,1,1,3,1,808.204422,102.412015,1,1,10105,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010605,488120.9059,17,21.879825,0,1,1,3,1,808.204422,102.412015,1,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010927,455326.2223,2,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10109,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010628,455326.2223,3,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010714,448321.2035,4,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010811,459996.2348,5,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010716,467001.2536,6,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010702,472838.7693,8,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010623,491518.8194,10,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10106,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010724,478676.2849,11,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010814,487432.5585,12,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010814,495021.3288,13,17.130575,0,1,1,3,1,808.204422,102.412015,1,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010730,430363.8579,4,23.700875,0,1,1,3,1,808.204422,102.412015,1,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010807,468337.1395,9,23.700875,0,1,1,3,1,808.204422,102.412015,1,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010712,476775.6465,10,23.700875,0,1,1,3,1,808.204422,102.412015,1,1,10107,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010816,479307.1986,15,23.700875,0,1,1,3,1,808.204422,102.412015,1,1,10108,3.219,537021,23270367
新莊區,忠孝段451~480地號,1010826,459898.6324,16,23.700875,0,1,1,3,1,808.204422,102.412015,1,1,10108,3.219,537021,23270367
